Name,Type,Subtype,Edition,Cost,Legal,Foil,Rarity,Count,Image,ImageName
"Astral Steel",Instant,,Scourge,2W,0,0,Common,3,,astral_steel.jpg
"Attended Knight",Creature,"Human Knight",M13,2W,1,0,Common,3,,attended_knight.jpg
"Augury Owl",Creature,Bird,"M11,Planechase 2012",1B,0,0,Common,4,,augury_owl.jpg
"Aura Gnarlid",Creature,Beast,"Rise of the Eldrazi",2G,0,0,Common,3,,aura_gnarlid.jpg
Auramancer,Creature,"Human Wizard",M12,2W,1,0,Common,5,,auramancer.jpg
"Auriok Edgewright",Creature,"Human Soldier","Scars of Mirrodin",WW,1,0,Uncommon,1,,auriok_edgewright.jpg
"Auriok Replica","Artifact Creature",Cleric,"Scars of Mirrodin",3,1,0,Common,1,,auriok_replica.jpg
"Autumn's Veil",Instant,,"M11,M12",G,1,0,Uncommon,3,,autumns_veil.jpg
"Avacyn's Collar",Artifact,Equipment,"Dark Ascension",1,1,0,Uncommon,2,,avacyns_collar.jpg
"Avacynian Priest",Creature,"Human Cleric",Innistrad,1W,1,1,Common,1,,avacynian_priest.jpg
"Aven Envoy",Creature,"Bird Soldier",Legions,B,0,1,Common,2,,aven_envoy.jpg
"Aven Farseer",Creature,"Bird Soldier",Scourge,1W,0,0,Common,2,,aven_farseer.jpg
"Aven Fleetwing",Creature,"Bird Soldier",M12,3B,1,0,Common,3,,aven_fleetwing.jpg
"Aven Liberator",Creature,"Bird Soldier",Scourge,2WW,0,0,Common,2,,aven_liberator.jpg
"Aven Redeemer",Creature,"Bird Cleric",Legions,3W,0,0,Common,1,,aven_redeemer.jpg
"Aven Warhawk",Creature,"Bird Soldier",Legions,4W,0,0,Uncommon,1,,aven_warhawk.jpg
"Awakener Druid",Creature,"Human Druid",M11,1G,0,0,Uncommon,2,,awakener_druid.jpg
"Aysen Abbey",Land,,Homelands,,0,0,Uncommon,1,,aysen_abbey.jpg
"Aysen Bureaucrats",Creature,Bureaucrats,Homelands,1W,0,0,Common,1,,aysen_bureaucrats.jpg
"Azure Drake",Creature,Drake,M11,3B,0,0,Common,2,,azure_drake.jpg
"Azure Mage",Creature,"Human Wizard",M12,1B,1,0,Uncommon,5,,azure_mage.jpg
"B.F.M. (Big Furry Monster)",Creature,"Biggest, Baddest, Nastiest, Scariest",Unglued,KKKKKKKKKKKKKKK,0,0,Rare,1,,b.f.m._big_furry_monster.jpg
"Back to Nature",Instant,,M11,1G,0,0,Uncommon,1,,back_to_nature.jpg
Backslide,Instant,,Onslaught,1B,0,0,Common,1,,backslide.jpg
"Baleful Strix","Artifact Creature",Bird,"Planechase 2012",BK,0,0,Uncommon,2,,baleful_strix.jpg
"Balshan Collaborator",Creature,"Bird Soldier",Torment,3B,0,0,Uncommon,1,,balshan_collaborator.jpg
"Balthor the Stout",Creature,"Dwarf Legend",Torment,1RR,0,0,Rare,1,,balthor_the_stout.jpg
"Banishing Stroke",Instant,,"Avacyn Restored",5W,1,1,Uncommon,2,,banishing_stroke.jpg
"Banishment Decree",Instant,,"Mirrodin Besieged",3WW,1,0,Common,2,,banishment_decree.jpg
"Banners Raised",Instant,,"Avacyn Restored",R,1,0,Common,1,,banners_raised.jpg
"Barbed Battlegear",Artifact,Equipment,"Scars of Mirrodin",3,1,0,Uncommon,1,,barbed_battlegear.jpg
"Barony Vampire",Creature,Vampire,M11,2K,0,0,Common,2,,barony_vampire.jpg
"Barrage Ogre",Creature,"Ogre Warrior","Scars of Mirrodin",3RR,1,0,Uncommon,2,,barrage_ogre.jpg
"Barren Moor",Land,,Onslaught,,0,0,Common,4,,barren_moor.jpg
"Battle-Rattle Shaman",Creature,"Goblin Shaman","Rise of the Eldrazi",3R,0,0,Common,1,,battle-rattle_shaman.jpg
"Battlefield Medic",Creature,Cleric,Onslaught,1W,0,0,Common,1,,battlefield_medic.jpg
"Battleground Geist",Creature,Spirit,Innistrad,4B,1,0,Uncommon,1,,battleground_geist.jpg
"Beast Hunt",Sorcery,,Zendikar,3G,0,0,Common,1,,beast_hunt.jpg
"Beast Within",Instant,,"New Phyrexia",2G,1,0,Uncommon,1,,beast_within.jpg
"Beastbreaker of Bala Ged",Creature,"Human Warrior","Rise of the Eldrazi",1G,0,0,Uncommon,1,,beastbreaker_of_bala_ged.jpg
"Belltower Sphinx",Creature,Sphinx,M12,4B,1,0,Uncommon,5,,belltower_sphinx.jpg
"Benalish Veteran",Creature,"Human Soldier",M12,2W,1,1,Common,3,,benalish_veteran.jpg
"Benevolent Bodyguard",Creature,Cleric,Judgment,W,0,0,Common,1,,benevolent_bodyguard.jpg
"Berserkers of Blood Ridge",Creature,"Human Berserker","M10,M11",4R,0,0,Common,2,,berserkers_of_blood_ridge.jpg
"Birchlore Rangers",Creature,Elf,Onslaught,G,0,0,Common,1,,birchlore_rangers.jpg
"Birds of Paradise",Creature,Bird,M12,G,1,0,Rare,1,,birds_of_paradise.jpg
"Bitterheart Witch",Creature,"Human Shaman",Innistrad,4K,1,0,Uncommon,1,,bitterheart_witch.jpg
"Black Cat",Creature,"Zombie Cat","Dark Ascension",1K,1,0,Common,1,,black_cat.jpg
"Black Knight",Creature,"Human Knight",M11,KK,0,0,Uncommon,1,,black_knight.jpg
"Bladed Sentinel","Artifact Creature",Construct,"Mirrodin Besieged",4,1,0,Common,1,,bladed_sentinel.jpg
"Bladetusk Boar",Creature,Boar,Zendikar,3R,0,0,Common,1,,bladetusk_boar.jpg
Blaze,Sorcery,,"Seventh Edition",XR,0,0,Uncommon,1,,blaze.jpg
"Blazing Torch",Artifact,Equipment,Zendikar,1,0,0,Uncommon,1,,blazing_torch.jpg
"Blessings of Nature",Sorcery,,"Avacyn Restored",4G,1,0,Uncommon,1,,blessings_of_nature.jpg
"Blighted Agent",Creature,"Human Rogue","New Phyrexia",1B,1,0,Common,1,,blighted_agent.jpg
"Blightsteel Colossus","Artifact Creature",Golem,"Mirrodin Besieged",12,1,0,"Mythic Rare",1,,blightsteel_colossus.jpg
Blightwidow,Creature,Spider,"Mirrodin Besieged",3G,1,0,Common,1,,blightwidow.jpg
"Blinding Mage",Creature,"Human Wizard",M10,1W,0,0,Common,2,,blinding_mage.jpg
Blistergrub,Creature,Horror,"Scars of Mirrodin",2K,1,0,Common,1,,blistergrub.jpg
"Blisterstick Shaman",Creature,"Goblin Shaman","Mirrodin Besieged",2R,1,0,Common,2,,blisterstick_shaman.jpg
"Blood Feud",Sorcery,,"Dark Ascension",4RR,1,0,Uncommon,1,,blood_feud.jpg
"Blood Ogre",Creature,"Ogre Warrior",M12,2R,1,0,Common,5,,blood_ogre.jpg
"Blood Seeker",Creature,"Vampire Shaman","Zendikar,M12",1K,1,0,Common,4,,blood_seeker.jpg
"Blood Tithe",Sorcery,,M11,3K,0,0,Common,1,,blood_tithe.jpg
"Bloodcrazed Neonate",Creature,Vampire,Innistrad,1R,1,0,Common,3,,bloodcrazed_neonate.jpg
"Bloodpyre Elemental",Creature,Elemental,"Shards of Alara",4R,0,0,Common,1,,bloodpyre_elemental.jpg
"Bloodrage Vampire",Creature,Vampire,M12,2K,1,0,Common,3,,bloodrage_vampire.jpg
"Bloodshot Trainee",Creature,"Goblin Warrior","Scars of Mirrodin",3R,1,1,Uncommon,1,,bloodshot_trainee.jpg
"Bloodstoke Howler",Creature,Beast,Legions,5R,0,0,Common,2,,bloodstoke_howler.jpg
"Bloodthrone Vampire",Creature,Vampire,"Rise of the Eldrazi,M11",1K,0,0,Common,2,,bloodthrone_vampire.jpg
"Blunt the Assault",Instant,,"Scars of Mirrodin",3G,1,0,Common,1,,blunt_the_assault.jpg
"Boar Umbra",Enchantment,Aura,"Rise of the Eldrazi",2G,0,0,Uncommon,1,,boar_umbra.jpg
"Bog Raiders",Creature,Zombie,M11,2K,0,0,Common,1,,bog_raiders.jpg
"Bonds of Faith",Enchantment,Aura,Innistrad,1W,1,0,Common,1,,bonds_of_faith.jpg
"Bone to Ash",Instant,,"Dark Ascension",2BB,1,0,Common,2,,bone_to_ash.jpg
"Bonebreaker Giant",Creature,Giant,M12,4R,1,0,Common,4,,bonebreaker_giant.jpg
Bonehoard,Artifact,Creature,"Mirrodin Besieged",4,1,0,Rare,2,,bonehoard.jpg
Boneknitter,Creature,"Zombie Cleric",Onslaught,1K,0,0,Uncommon,1,,boneknitter.jpg
"Boneshard Slasher",Creature,Horror,Torment,1K,0,0,Uncommon,1,,boneshard_slasher.jpg
"Boneyard Wurm",Creature,Wurm,Innistrad,1G,1,0,Uncommon,6,,boneyard_wurm.jpg
Boomerang,Instant,,DOP,BB,0,0,Common,2,,boomerang.jpg
"Borderland Ranger",Creature,"Human Scout","Avacyn Restored",2G,1,0,Common,1,,borderland_ranger.jpg
"Bountiful Harvest",Sorcery,,M12,4G,1,0,Common,3,,bountiful_harvest.jpg
"Bower Passage",Enchantment,,"Avacyn Restored",1G,1,0,Uncommon,1,,bower_passage.jpg
"Brain Weevil",Creature,Insect,Innistrad,3K,1,0,Common,3,,brain_weevil.jpg
Bramblesnap,Creature,Elemental,"Rise of the Eldrazi",1G,0,0,Uncommon,1,,bramblesnap.jpg
"Brave the Elements",Instant,,Zendikar,W,0,0,Uncommon,1,,brave_the_elements.jpg
"Break of Day",Instant,,"Dark Ascension",1W,1,0,Common,3,,break_of_day.jpg
"Breath of Darigaaz",Sorcery,,Invasion,1R,0,0,Uncommon,1,,breath_of_darigaaz.jpg
"Briarpack Alpha",Creature,Wolf,"Dark Ascension",3G,1,0,Uncommon,1,,briarpack_alpha.jpg
"Brilliant Ultimatum",Sorcery,,"Shards of Alara",WWBBBKK,0,0,Rare,1,,brilliant_ultimatum.jpg
"Brindle Boar",Creature,Boar,"M11,M12",2G,1,0,Common,5,,brindle_boar.jpg
"Brink of Disaster",Enchantment,Aura,M12,2KK,1,0,Common,5,,brink_of_disaster.jpg
"Brood Birthing",Sorcery,,"Rise of the Eldrazi",1R,0,0,Common,1,,brood_birthing.jpg
"Bruna, Light of Alabaster","Legendary Creature",Angel,"Avacyn Restored",3WWB,1,0,"Mythic Rare",1,,bruna_light_of_alabaster.jpg
"Buried Ruin",Land,,M12,,1,0,Uncommon,2,,buried_ruin.jpg
"Burn the Impure",Instant,,"Mirrodin Besieged",1R,1,0,Common,3,,burn_the_impure.jpg
"Burning Cinder Fury of Crimson Chaos Fire",Enchantment,,Unglued,2R,0,0,Rare,1,,burning_cinder_fury_of_crimson_chaos_fire.jpg
"Burning Vengeance",Enchantment,,Innistrad,2R,1,0,Uncommon,3,,burning_vengeance.jpg
"Butcher Ghoul",Creature,Zombie,"Avacyn Restored",1K,1,0,Common,1,,butcher_ghoul.jpg
"Cabal Executioner",Creature,Cleric,Onslaught,2KK,0,0,Uncommon,1,,cabal_executioner.jpg
"Cadaver Imp",Creature,Imp,"Rise of the Eldrazi,Planechase 2012",1KK,0,0,Common,2,,cadaver_imp.jpg
"Call to Mind",Sorcery,,M11,2B,0,0,Uncommon,1,,call_to_mind.jpg
"Call to Serve",Enchantment,Aura,"Avacyn Restored",1W,1,0,Common,2,,call_to_serve.jpg
Cancel,Instant,,"M10,DOP,Zendikar,M12,Planechase 2012",1BB,1,0,Common,10,,cancel.jpg
"Canopy Cover",Enchantment,Aura,Worldwake,1G,0,0,Uncommon,1,,canopy_cover.jpg
"Canyon Minotaur",Creature,"Minotaur Warrior",M11,3R,0,0,Common,2,,canyon_minotaur.jpg
"Captain's Call",Sorcery,,M13,3W,1,0,Common,2,,captains_call.jpg
"Captivating Vampire",Creature,Vampire,M11,1KK,0,0,Rare,1,,captivating_vampire.jpg
"Carapace Forger",Creature,"Elf Artificer","Scars of Mirrodin",1G,1,0,Common,1,,carapace_forger.jpg
"Caravan Hurda",Creature,Giant,Zendikar,4W,0,0,Common,1,,caravan_hurda.jpg
"Caravan Vigil",Sorcery,,Innistrad,G,1,0,Common,3,,caravan_vigil.jpg
"Carnage Wurm",Creature,Wurm,M12,6G,1,0,Uncommon,1,,carnage_wurm.jpg
"Cathedral Sanctifier",Creature,"Human Cleric","Avacyn Restored",W,1,0,Common,1,,cathedral_sanctifier.jpg
"Caustic Hound",Creature,Hound,"Mirrodin Besieged",5K,1,0,Common,4,,caustic_hound.jpg
"Celestial Purge",Instant,,M11,1W,0,0,Uncommon,1,,celestial_purge.jpg
"Cellar Door",Artifact,,Innistrad,2,1,0,Uncommon,1,,cellar_door.jpg
"Centaur Courser",Creature,"Centaur Warrior",M13,2G,1,0,Common,1,,centaur_courser.jpg
"Chain of Vapor",Instant,,Onslaught,B,0,0,Uncommon,1,,chain_of_vapor.jpg
"Champion's Drake",Creature,Drake,"Rise of the Eldrazi",1B,0,0,Common,1,,champions_drake.jpg
"Chandra's Outrage",Instant,,"M11,M12",2RR,1,0,Common,5,,chandras_outrage.jpg
"Chant of the Skifsang",Enchantment,Aura,"Dark Ascension",2B,1,0,Common,1,,chant_of_the_skifsang.jpg
"Chapel Geist",Creature,Spirit,Innistrad,1WW,1,0,Common,2,,chapel_geist.jpg
"Charmbreaker Devils",Creature,Devil,Innistrad,5R,1,0,Rare,1,,charmbreaker_devils.jpg
"Chasm Drake",Creature,Drake,M12,4B,1,0,Common,5,,chasm_drake.jpg
"Child of Night",Creature,Vampire,"M10,M11,M12",1K,1,0,Common,7,,child_of_night.jpg
"Chill Haunting",Instant,,Scourge,1K,0,0,Uncommon,2,,chill_haunting.jpg
"Chosen of Markov",Creature,Human,"Dark Ascension",2K,1,0,Common,2,,chosen_of_markov.jpg
"Circle of Flame",Enchantment,,M12,1R,1,0,Uncommon,2,,circle_of_flame.jpg
Claustrophobia,Enchantment,Aura,Innistrad,1BB,1,0,Common,1,,claustrophobia.jpg
"Claws of Valakut",Enchantment,Aura,Worldwake,1RR,0,0,Common,1,,claws_of_valakut.jpg
"Clockwork Gnomes","Artifact Creature",,Homelands,4,0,0,Common,1,,clockwork_gnomes.jpg
"Cloistered Youth",Creature,Human,Innistrad,1W,1,0,Uncommon,2,,cloistered_youth.jpg
"Cloud Crusader",Creature,"Human Knight",M11,2WW,0,0,Common,2,,cloud_crusader.jpg
"Cloud Elemental",Creature,Elemental,M11,2B,0,0,Common,1,,cloud_elemental.jpg
"Cloud Sprite",Creature,Faerie,DOP,B,0,0,Common,4,,cloud_sprite.jpg
"Cloudreach Cavalry",Creature,Soldier,Legions,1W,0,0,Uncommon,1,,cloudreach_cavalry.jpg
"Cobbled Wings",Artifact,Equipment,Innistrad,2,1,0,Common,3,,cobbled_wings.jpg
"Coiling Oracle",Creature,"Snake Elf Druid",Dissension,GB,0,0,Common,2,,coiling_oracle.jpg
Combust,Instant,,M12,1R,1,0,Uncommon,1,,combust.jpg
"Commander's Authority",Enchantment,Aura,"Avacyn Restored",4W,1,0,Uncommon,4,,commanders_authority.jpg
Concentrate,Sorcery,,"Planechase 2012",2BB,0,0,Uncommon,1,,concentrate.jpg
"Concussive Bolt",Sorcery,,"Mirrodin Besieged",3RR,1,0,Common,4,,concussive_bolt.jpg
Condemn,Instant,,M11,W,0,0,Uncommon,1,,condemn.jpg
Confound,Instant,,Planeshift,1B,0,0,Common,1,,confound.jpg
"Contested War Zone",Land,,"Mirrodin Besieged",,1,0,Rare,1,,contested_war_zone.jpg
"Conundrum Sphinx",Creature,Sphinx,M11,2BB,0,1,Rare,1,,conundrum_sphinx.jpg
"Copper Carapace",Artifact,Equipment,"Mirrodin Besieged",1,1,0,Common,3,,copper_carapace.jpg
"Copper Myr","Artifact Creature",Myr,"Scars of Mirrodin",2,1,0,Common,3,,copper_myr.jpg
"Copperhorn Scout",Creature,"Elf Scout","Scars of Mirrodin",G,1,0,Common,2,,copperhorn_scout.jpg
"Coral Merfolk",Creature,Merfolk,M12,1B,1,0,Common,6,,coral_merfolk.jpg
"Coral Net",Enchantment,Aura,Torment,B,0,0,Common,2,,coral_net.jpg
"Corpse Connoisseur",Creature,"Zombie Wizard","Shards of Alara",4K,0,0,Uncommon,1,,corpse_connoisseur.jpg
"Corpse Cur","Artifact Creature",Hound,"Scars of Mirrodin",4,1,0,Common,1,,corpse_cur.jpg
"Corpse Harvester",Creature,"Zombie Wizard",Legions,3KK,0,0,Uncommon,2,,corpse_harvester.jpg
"Corpse Lunge",Instant,,Innistrad,2K,1,0,Common,1,,corpse_lunge.jpg
Corrupt,Sorcery,,M11,5K,0,0,Uncommon,1,,corrupt.jpg
"Corrupted Conscience",Enchantment,Aura,"Mirrodin Besieged",3BB,1,0,Uncommon,2,,corrupted_conscience.jpg
Counterbore,Instant,,DOP,3BB,0,0,Rare,1,,counterbore.jpg
"Crackling Club",Enchantment,Creature,Torment,R,0,0,Common,1,,crackling_club.jpg
"Crazed Firecat",Creature,Cat,Torment,5RR,0,0,Uncommon,1,,crazed_firecat.jpg
"Crested Craghorn",Creature,Beast,Legions,4R,0,0,Common,2,,crested_craghorn.jpg
"Crimson Mage",Creature,"Human Shaman",M12,1R,1,0,Uncommon,1,,crimson_mage.jpg
"Crossway Vampire",Creature,Vampire,Innistrad,1RR,1,0,Common,1,,crossway_vampire.jpg
"Crown of Empires",Artifact,,M12,2,1,0,Uncommon,2,,crown_of_empires.jpg
"Crown of Fury",Enchantment,Creature,Onslaught,1R,0,0,Common,1,,crown_of_fury.jpg
"Cruel Revival",Instant,,Onslaught,4K,0,0,Common,2,,cruel_revival.jpg
"Crumbling Colossus","Artifact Creature",Golem,M12,5,1,0,Uncommon,2,,crumbling_colossus.jpg
"Crusader of Odric",Creature,"Human Soldier",M13,2W,1,0,Uncommon,1,,crusader_of_odric.jpg
Crush,Instant,,"Mirrodin Besieged",R,1,0,Common,1,,crush.jpg
"Crushing Vines",Instant,,"Dark Ascension",2G,1,0,Common,1,,crushing_vines.jpg
"Crypt Ripper",Creature,Shade,Zendikar,2KK,0,0,Common,1,,crypt_ripper.jpg
"Cudgel Troll",Creature,Troll,"M11,M12",2GG,1,0,Uncommon,3,,cudgel_troll.jpg
Cultivate,Sorcery,,M11,2G,0,0,Common,4,,cultivate.jpg
Curiosity,Enchantment,Aura,Innistrad,B,1,0,Uncommon,2,,curiosity.jpg
"Curse of Echoes",Enchantment,"Aura Curse","Dark Ascension",4B,1,0,Rare,1,,curse_of_echoes.jpg
"Curse of Oblivion",Enchantment,"Aura Curse",Innistrad,3K,1,0,Common,1,,curse_of_oblivion.jpg
"Curse of the Bloody Tome",Enchantment,"Aura Curse",Innistrad,2B,1,0,Common,1,,curse_of_the_bloody_tome.jpg
"Curse of the Pierced Heart",Enchantment,"Aura Curse",Innistrad,1R,1,0,Common,1,,curse_of_the_pierced_heart.jpg
"Daggerback Basilisk",Creature,Basilisk,"Rise of the Eldrazi",2G,0,0,Common,1,,daggerback_basilisk.jpg
"Dark Hatchling",Creature,Horror,"Planechase 2012",4KK,0,0,Rare,1,,dark_hatchling.jpg
"Dark Supplicant",Creature,Cleric,Legions,K,0,0,Uncommon,1,,dark_supplicant.jpg
"Darksteel Myr","Artifact Creature",Myr,"Scars of Mirrodin",3,1,0,Uncommon,2,,darksteel_myr.jpg
"Darksteel Sentinel","Artifact Creature",Golem,"Scars of Mirrodin",6,1,0,Uncommon,1,,darksteel_sentinel.jpg
"Darkthicket Wolf",Creature,Wolf,Innistrad,1G,1,0,Common,2,,darkthicket_wolf.jpg
"Daru Lancer",Creature,Soldier,Onslaught,4WW,0,0,Common,1,,daru_lancer.jpg
"Daru Mender",Creature,"Cleric Soldier",Legions,W,0,0,Uncommon,1,,daru_mender.jpg
"Daru Sanctifier",Creature,Cleric,Legions,3W,0,0,Common,2,,daru_sanctifier.jpg
"Daunting Defender",Creature,Cleric,Onslaught,4W,0,0,Common,1,,daunting_defender.jpg
"Dawntreader Elk",Creature,Elk,"Dark Ascension",1G,1,0,Common,8,,dawntreader_elk.jpg
"Dead Weight",Enchantment,Aura,Innistrad,K,1,0,Common,1,,dead_weight.jpg
"Deadly Allure",Sorcery,,"Dark Ascension",K,1,0,Uncommon,2,,deadly_allure.jpg
"Deadly Recluse",Creature,Spider,M13,1G,1,0,Common,1,,deadly_recluse.jpg
"Death Cultist",Creature,"Human Warrior","Rise of the Eldrazi",K,0,0,Common,1,,death_cultist.jpg
Deathmark,Sorcery,,M12,K,1,0,Uncommon,1,,deathmark.jpg
"Deathmark Prelate",Creature,Cleric,Legions,3K,0,0,Uncommon,2,,deathmark_prelate.jpg
"Deep Analysis",Sorcery,,Torment,3B,0,0,Common,2,,deep_analysis.jpg
"Defensive Stance",Enchantment,Aura,"New Phyrexia",B,1,0,Common,1,,defensive_stance.jpg
"Deft Duelist",Creature,"Human Rogue","Shards of Alara",WB,0,1,Common,1,,deft_duelist.jpg
"Deftblade Elite",Creature,Soldier,Legions,W,0,0,Common,3,,deftblade_elite.jpg
"Defy Gravity",Instant,,Judgment,B,0,0,Common,1,,defy_gravity.jpg
Deluge,Instant,,DOP,2B,0,0,Uncommon,2,,deluge.jpg
"Delver of Secrets",Creature,"Human Wizard",Innistrad,B,1,0,Common,1,,delver_of_secrets.jpg
Demolish,Sorcery,,Zendikar,3R,0,0,Common,2,,demolish.jpg
"Demon's Horn",Artifact,,"M11,M12",2,1,0,Uncommon,2,,demons_horn.jpg
"Demonic Appetite",Enchantment,Aura,"Rise of the Eldrazi",K,0,0,Common,1,,demonic_appetite.jpg
"Demonic Dread",Sorcery,,"Alara Reborn",1KR,0,0,Common,1,,demonic_dread.jpg
Demystify,Instant,,M12,W,1,0,Common,2,,demystify.jpg
"Denizen of the Deep",Creature,Serpent,DOP,6BB,0,0,Rare,1,,denizen_of_the_deep.jpg
"Deranged Assistant",Creature,"Human Wizard",Innistrad,1B,1,0,Common,4,,deranged_assistant.jpg
"Deranged Outcast",Creature,"Human Rogue","Dark Ascension",1G,1,0,Rare,1,,deranged_outcast.jpg
"Desperate Ravings",Instant,,Innistrad,1R,1,0,Uncommon,2,,desperate_ravings.jpg
"Devouring Swarm",Creature,Insect,M12,1KK,1,0,Common,7,,devouring_swarm.jpg
"Devout Chaplain",Creature,"Human Cleric","Avacyn Restored",2W,1,0,Uncommon,1,,devout_chaplain.jpg
"Diabolic Tutor",Sorcery,,M12,2KK,1,0,Uncommon,4,,diabolic_tutor.jpg
"Dimir Aqueduct",Land,,"Planechase 2012",,0,0,Common,2,,dimir_aqueduct.jpg
"Dimir Infiltrator",Creature,Spirit,"Planechase 2012",BK,0,0,Common,2,,dimir_infiltrator.jpg
